Date,RSI Dip (30/50),Drawdown Dip (3/5/10%),VIX Spike (25/35),Bollinger Band Dip,Losing Streak (3+),Composite Dip,Trend-Filtered Dip,DCA + Dip,Best Blend (TF+VIX+DD),SPY_BH
2014-01-02,,,,,,,,,,
2014-01-03,,,,,,,,,,0.9998360294757757
2014-01-06,0.9971021318742036,0.9971021318742036,0.9973919186867832,0.9971021318742036,0.9971021318742036,0.9971021318742036,0.9979714923119425,0.9971021318742036,0.9975368120930731,0.996938636514935
2014-01-07,1.0032259653900921,1.0032259653900921,1.0029049706384272,1.0032259653900921,1.0032259653900921,1.0032259653900921,1.002261913276868,1.0032259653900921,1.002744339780316,1.0030614659026316
2014-01-08,1.003444560320472,1.003444560320472,1.0031016431277944,1.003444560320472,1.003444560320472,1.003444560320472,1.0024147826866514,1.003444560320472,1.0029300562701193,1.0032800249898863
2014-01-09,1.0041006524147005,1.0041006524147005,1.0036919242209503,1.0041006524147005,1.0041006524147005,1.0041006524147005,1.0028735758358154,1.0041006524147005,1.0034874486074268,1.0039360095043501
2014-01-10,1.0068346255598934,1.0068346255598934,1.0061514984521205,1.0068346255598934,1.0068346255598934,1.0068346255598934,1.0047850182718256,1.0068346255598934,1.0058099065901183,1.0066695343585332
2014-01-13,0.9934387717546259,0.9934387717546259,0.9941034100835383,0.9934387717546259,0.9934387717546259,0.9934387717546259,0.9954270095103518,0.9934387717546259,0.9944350195886739,0.9932758770784366
2014-01-14,1.004264547395304,1.004264547395304,1.0038531266322197,1.004264547395304,1.004264547395304,1.004264547395304,1.0030202189205482,1.004264547395304,1.003646156812001,1.0040998776110077
2014-01-15,1.0096776913015504,1.0096776913015504,1.0087229602874654,1.0096776913015504,1.0096776913015504,1.0096776913015504,1.0068047246665506,1.0096776913015504,1.008244495893158,1.00951213392121
2014-01-16,1.0083653022443675,1.0083653022443675,1.007542927007941,1.0083653022443675,1.0083653022443675,1.0083653022443675,1.0058886663438513,1.0083653022443675,1.007130548643894,1.008199960057149
2014-01-17,1.0041006524147005,1.0041006524147005,1.0037078724039847,1.0041006524147005,1.0041006524147005,1.0041006524147005,1.0029107435176419,1.0041006524147005,1.0035100350798196,1.0039360095043501
2014-01-21,1.0070535277933619,1.0070535277933619,1.0063644206603737,1.0070535277933619,1.0070535277933619,1.0070535277933619,1.004975306770424,1.0070535277933619,1.0060185027892525,1.0068884006984877
2014-01-22,1.0077094150188648,1.0077094150188648,1.0069543152335472,1.0077094150188648,1.0077094150188648,1.0077094150188648,1.0054334803562617,1.0077094150188648,1.0065754339417983,1.0075441803778185
2014-01-23,0.9994532053709614,0.9994532053709614,0.9995292944610201,0.9994532053709614,0.9994532053709614,0.9994532053709614,0.9996671863889864,0.9994532053709614,0.9995655528863924,0.9992893245049391
2014-01-24,0.9781289318789975,0.9781289318789975,0.9803359872292275,0.9781289318789975,0.9781289318789975,0.9781289318789975,0.9847369991043181,0.9781289318789975,0.9814378829343645,0.9779685475652785
2014-01-27,0.9733169752484775,0.9733169752484775,0.9754837627944285,0.9733169752484775,0.9733169752484775,0.9733169752484775,0.9813458733494148,0.9733169752484775,0.9771802030271409,0.9731573799538097
2014-01-28,0.9791134285406103,0.9791134285406103,0.9812931200871321,0.9791134285406103,0.980214320180522,0.9796638743605663,0.9854368611407164,0.9791134285406103,0.982301328008024,0.9789528827984576
2014-01-29,0.9697087248161277,0.9697087248161277,0.971867479714649,0.9697087248161277,0.9707402291736776,0.9702244935082774,0.9788110514912476,0.9697087248161277,0.9739982424143262,0.9695497211681748
