Date,Sector Rotation,Vol-Managed SPY,200-MA Filter,Dual Momentum,Composite Signal,Seasonal+MeanRev,Risk Parity,Average All,Best3 Blend,SPY_BH
2014-01-02,1.0,,,1.0,,,,1.0,,
2014-01-03,1.0,,0.9998357222062507,1.0,,,,0.9999452407354169,,0.9998357222062507
2014-01-06,1.0,,0.9969388410365518,1.0,,0.9965231714306347,,0.9983517815692216,,0.9969388410365518
2014-01-07,1.0,,1.003061773468911,1.0,,1.0038676268312559,,1.0017241672541397,,1.003061773468911
2014-01-08,1.0,,1.0032802301609727,1.0,,1.0041299854697676,,1.0018441582103785,,1.0032802301609727
2014-01-09,1.0,,1.003936214742621,1.0,,1.004917833692392,,1.002204433301708,,1.003936214742621
2014-01-10,1.0,,1.006669739876765,1.0,,1.008201271164784,,1.0037052787062894,,1.006669739876765
2014-01-13,1.0,,0.9932758763897681,1.0,,0.992104182328021,,0.9963603471727372,,0.9932758763897681
2014-01-14,1.0,,1.004100390118793,1.0,,1.0050782761492851,,1.0023323173799725,,1.004100390118793
2014-01-15,1.0,,1.0095125445657283,1.0,,1.0115791865147945,,1.0053037608224906,,1.0095125445657283
2014-01-16,1.0,,1.0082002681497002,1.0,,1.0100012310749489,,1.0045850178679279,,1.0082002681497002
2014-01-17,1.0,,1.0039362147426207,1.0,,1.0048752266570884,,1.0022481981239684,,1.0039362147426207
2014-01-21,1.0,,1.0068879917336722,1.0,,1.0084206721099365,,1.0038689457570407,,1.0068879917336722
2014-01-22,1.0,,1.007544283568052,1.0,,1.0092094211165694,,1.0042288239644612,,1.007544283568052
2014-01-23,1.0,,0.9992893244321531,1.0,,0.9992870988920274,,0.9997035366673525,,0.9992893244321531
2014-01-24,1.0,,0.9779683404737158,1.0,,0.9737019751232442,,0.9879721347589768,,0.9779683404737158
2014-01-27,1.0,,0.9731574796222304,1.0,,0.9679541268308971,,0.9852990952056283,,0.9731574796222304
2014-01-28,1.0,,0.9789523685549768,1.0,,0.9748708120841277,,0.9885260491344596,,0.9789523685549768
2014-01-29,1.0,,0.9695495132143764,1.0,,0.9636344297845499,,0.9833039032400882,,0.9695495132143764
2014-01-30,1.0,,0.9798272194989955,1.0,,0.9758924339401959,,0.9890368335469518,,0.9798272194989955
2014-01-31,0.999,,0.9740871239700246,0.9995,,0.9690319805639188,,0.9854792183541602,,0.9740871239700246
2014-02-03,0.999,,0.952164641580983,0.9995,,0.9428615249581621,,0.9732808403522042,,0.952164641580983
2014-02-04,0.999,,0.9588345862929023,0.9995,,0.9507872562460092,,0.9770306657615445,,0.9588345862929023
2014-02-05,0.999,0.9989689182938521,0.9576319991020025,0.9995,,0.9489414678784654,,0.9762047571875982,,0.9576319991020025
2014-02-06,0.999,1.0097587684029112,0.9702602911998002,0.9995,,0.9677120029869195,,0.9847501576475628,,0.9702602911998002
2014-02-07,0.999,1.0195529925419748,0.982287392119725,0.9995,,0.9820485558480345,,0.9920196249276557,,0.982287392119725
2014-02-10,0.999,1.0209445508292048,0.9840914777412293,0.9995,,0.9842129322129611,,0.9930920830883166,,0.9840914777412293
2014-02-11,0.999,1.0292807999608842,0.9948610956489018,0.9995,,0.997138068698101,,0.999495820453055,,0.9948610956489018
2014-02-12,0.999,1.0296451980818666,0.9953531096895323,0.9995,,0.9977298368543498,,0.999784085825856,,0.9953531096895323
2014-02-13,0.999,1.0336523541390383,1.0004920140406304,0.9995,,1.0039112470291938,,1.0028334580896479,,1.0004920140406304
2014-02-14,0.999,1.0380576789783722,1.006013448042385,0.9995,,1.0105596115734,,1.0061233701757946,,1.006013448042385
2014-02-18,0.999,1.0390169329683616,1.007216752156325,0.9995,,1.0120101017715426,,1.006838830628757,,1.007216752156325
2014-02-19,0.999,1.033700930428627,1.0005468074444055,0.9995,,1.003968077356517,,1.0028748826774037,,1.0005468074444055
2014-02-20,0.999,1.0383812881941719,1.0064508735143942,0.9995,,1.011077182677851,,1.0063868732073527,,1.0064508735143942
2014-02-21,0.999,1.0374774826073048,1.0053030797272697,0.9995,,1.0096934989164825,,1.005706684517105,,1.0053030797272697
2014-02-24,0.999,1.041862979850047,1.0108787950449143,0.9995,,1.0164135780109127,,1.0090112241295397,,1.0108787950449143
2014-02-25,0.999,1.0415574704044677,1.010496470229412,0.9995,,1.016039221255505,,1.0088013991165667,,1.010496470229412
2014-02-26,0.999,1.0415819496988603,1.0105512636331875,0.9995,,1.0160788889032786,,1.0088249583174687,,1.0105512636331875
2014-02-27,0.999,1.0465500305602964,1.0158538312725718,0.9995,,1.0199176208954712,,1.011608293208566,,1.0158538312725718
2014-02-28,0.998001,1.0489618141636747,1.0184231810305435,0.9990002500000001,,1.021774953130133,,1.0126512251673603,,1.0184231810305435
2014-03-03,0.998001,1.0418695717094306,1.0112618367834567,0.9990002500000001,,1.0166018156078622,,1.00883233690183,,1.0112618367834567
2014-03-04,0.998001,1.0558954535312983,1.0254757578106968,0.9990002500000001,,1.0302704373967642,,1.0170973485114367,,1.0254757578106968
2014-03-05,0.998001,1.0567762905340528,1.0264049924881824,0.9990002500000001,,1.031166673597291,,1.0176283266625754,,1.0264049924881824
2014-03-06,0.998001,1.0598339391642344,1.0287556807189382,0.9990002500000001,,1.0334338033619164,,1.0191307928604807,,1.0287556807189382
2014-03-07,0.998001,1.0604198552907946,1.029192798938216,0.9990002500000001,,1.0338553450770585,,1.019413222852462,,1.029192798938216
