Ticker,ReportDate,Hour,EPS_Actual,EPS_Estimate,SurprisePct,GapPct,IntradayPct,DayChange,PrevClose,Open,Close,SurpriseClass,ReactionClass,ExpectationLevel,ExpectationComment,SignalScore
AAPL,2025-01-30,amc,3.86,4.11,-0.06073735633202863,-0.02690963658145066,0.014354329044029054,-0.012941577315366812,413.75,402.61,408.39,Miss,Neutral,Expectation Reasonable,市场预期与业绩基本匹配,-0.0356
AAPL,2024-10-31,bmo,3.65,3.63,0.004959714550984309,0.007186993573820664,0.03138029642861287,0.03879281999121071,313.19,315.44,325.34,Inline,Neutral,Expectation Low,业绩超预期且涨幅更大，市场此前保守,0.0109
AAPL,2024-08-01,amc,2.33,1.93,0.20258023092679792,0.07114578195574424,0.02328803876388184,0.09609066644769808,459.21,491.88,503.34,Strong Beat,Positive,Expectation Reasonable,市场预期与业绩基本匹配,0.1273
MSFT,2025-01-30,amc,1.71,1.66,0.031246508106445445,0.009988552515997564,-0.00306910564290477,0.006888790950201499,240.05,242.45,241.7,Inline,Neutral,Expectation Reasonable,市场预期与业绩基本匹配,0.018
MSFT,2024-10-30,bmo,2.44,2.03,0.19931210625017676,0.07620296118968642,-0.01951507407805104,0.055200780679051764,373.92,402.41,394.56,Strong Beat,Positive,Expectation Reasonable,市场预期与业绩基本匹配,0.1186
MSFT,2024-07-30,amc,3.87,4.5,-0.13928303799975109,-0.05634718580436405,-0.004772511841136921,-0.060850780034035,217.2,204.96,203.98,Miss,Negative,Expectation Reasonable,市场预期与业绩基本匹配,-0.0875
AMZN,2025-02-06,amc,2.86,3.05,-0.06062226535695667,-0.03311837453400009,0.005708780014345466,-0.027598660034302027,101.81,98.43,99.0,Miss,Negative,Expectation High,业绩低于预期且跌幅更大，过度悲观,-0.0391
AMZN,2024-10-31,bmo,3.0,2.95,0.01571967645063844,0.00530448047871364,0.015665969145786714,0.02105354945201446,454.18,456.59,463.74,Inline,Neutral,Expectation Reasonable,市场预期与业绩基本匹配,0.0126
AMZN,2024-08-01,amc,4.44,3.66,0.21365818557517463,0.0704198940913946,-0.00046215483705732904,0.0699251943596577,139.88,149.73,149.66,Strong Beat,Positive,Expectation Reasonable,市场预期与业绩基本匹配,0.1279
NVDA,2025-02-26,amc,1.5,1.3,0.15160974818249875,-0.022147532633390053,0.030214822657254958,0.007398106253051138,428.3,418.82,431.47,Strong Beat,Neutral,Expectation High,业绩超预期但股价下跌，预期已被透支,0.0752
NVDA,2024-11-20,bmo,2.81,3.16,-0.11130202073496835,0.028539115419960896,0.011026648171998232,0.03988045437683502,106.87,109.92,111.13,Miss,Neutral,Expectation Low,业绩低于预期但股价上涨，利空出尽,-0.0449
NVDA,2024-08-28,amc,4.91,4.48,0.09716015327319676,0.058604970532291537,-0.00757989601553633,0.050580854934126854,483.0,511.3,507.43,Beat,Positive,Expectation Low,业绩超预期且涨幅更大，市场此前保守,0.0646
GOOGL,2025-02-04,amc,1.96,2.28,-0.14012254899794216,-0.05157998091801777,0.017353028951494067,-0.03512202086871152,123.38,117.01,119.05,Miss,Negative,Expectation Reasonable,市场预期与业绩基本匹配,-0.0821
GOOGL,2024-10-29,bmo,5.72,4.99,0.14726593136338814,-0.014525073531940682,-0.012301790071112689,-0.02664817919769592,496.25,489.04,483.03,Strong Beat,Neutral,Expectation High,业绩超预期但股价下跌，预期已被透支,0.0668
GOOGL,2024-07-23,amc,0.99,1.12,-0.11176930399431274,0.022472351591774013,-0.012147867475388954,0.010051492967387804,379.37,387.89,383.18,Miss,Neutral,Expectation Low,业绩低于预期但股价上涨，利空出尽,-0.0516
META,2025-01-29,amc,2.12,2.2,-0.03464366514686275,-0.020879439206879437,-0.007370920485970465,-0.028096459006664295,115.48,113.07,112.24,Inline,Neutral,Expectation High,业绩低于预期且跌幅更大，过度悲观,-0.0251
META,2024-10-30,bmo,1.84,1.8,0.021305963947454702,0.005484598526457396,-0.016159729345950672,-0.010763760447252217,266.72,268.18,263.85,Inline,Neutral,Expectation Reasonable,市场预期与业绩基本匹配,0.0091
META,2024-07-31,amc,5.71,4.81,0.18602824540799487,0.08902830567793843,0.02958061333881905,0.12124243090322673,190.73,207.71,213.85,Strong Beat,Positive,Expectation Reasonable,市场预期与业绩基本匹配,0.1256
TSLA,2025-01-29,amc,2.86,2.78,0.029287639253362256,0.013276588141274333,0.0037843838074959474,0.017111215653950976,359.09,363.86,365.24,Inline,Neutral,Expectation Reasonable,市场预期与业绩基本匹配,0.0194
TSLA,2024-10-23,bmo,1.8,1.52,0.1835038400590882,0.07232996835595845,-0.012611828183786419,0.05880592703872803,190.21,203.97,201.4,Strong Beat,Positive,Expectation Reasonable,市场预期与业绩基本匹配,0.1109
TSLA,2024-07-23,amc,0.61,0.71,-0.13863955684200294,-0.05571653895823243,-0.014369322488723727,-0.06928525253070981,209.8,198.11,195.27,Miss,Negative,Expectation Reasonable,市场预期与业绩基本匹配,-0.0889
