trade_id,date,symbol,action,price,pnl
1,2000-06-26,ES,BUY_LONG,1471.6444872862432,0.0
2,2000-06-27,ES,SELL_LONG,1454.9827406341728,-0.16661746652070406
3,2000-07-26,GC,BUY_LONG,317.67448489144374,0.0
4,2000-07-28,GC,SELL_LONG,315.0576392263367,-0.02616845665107064
5,2000-08-01,GC,BUY_LONG,318.7276769180823,0.0
6,2000-08-02,GC,SELL_LONG,315.4482532935018,-0.03279423624580488
7,2000-08-22,ES,BUY_LONG,1473.075116500703,0.0
8,2000-08-28,ES,SELL_LONG,1476.168652762572,0.030935362618690763
9,2000-09-06,ES,BUY_LONG,1517.6662346318274,0.0
10,2000-09-07,ES,SELL_LONG,1513.6105675375882,-0.04055667094239197
11,2000-09-08,ES,BUY_LONG,1564.6152247983748,0.0
12,2000-09-13,ES,SELL_LONG,1542.664843035822,-0.2195038176255275
13,2000-10-20,ES,BUY_LONG,1626.2116451512547,0.0
14,2000-11-07,ES,SELL_LONG,1691.6948177494507,0.65483172598196
15,2000-11-08,ES,BUY_LONG,1706.5367073383013,0.0
16,2000-11-09,ES,SELL_LONG,1674.6654416281335,-0.3187126571016779
17,2000-12-07,ZN,SELL_SHORT,95.82945489967713,0.0
18,2000-12-14,ZN,COVER_SHORT,95.46544173015036,0.0036401316952677123
19,2000-12-21,ES,BUY_LONG,1748.8100568650343,0.0
20,2000-12-22,ES,SELL_LONG,1718.0727175956802,-0.3073733926935415
21,2001-01-08,GC,BUY_LONG,308.6007784824712,0.0
22,2001-01-09,GC,SELL_LONG,306.9645229378128,-0.01636255544658411
23,2001-01-22,GC,BUY_LONG,319.1799737947608,0.0
24,2001-01-24,GC,SELL_LONG,318.6210868133216,-0.0055888698143922964
25,2001-03-14,ES,BUY_LONG,1778.231589678938,0.0
26,2001-04-02,ES,SELL_LONG,1843.2699961805806,0.6503840650164261
27,2001-04-04,ES,BUY_LONG,1888.7938466342566,0.0
28,2001-04-09,GC,SELL_SHORT,302.0854159503564,0.0
29,2001-04-10,ES,SELL_LONG,1900.3802907107981,0.11586444076541512
30,2001-04-10,GC,COVER_SHORT,307.3446180912546,-0.05259202140898196
31,2001-04-20,GC,SELL_SHORT,298.56200377153885,0.0
32,2001-04-23,GC,COVER_SHORT,298.20076277408606,0.0036124099745279636
33,2001-04-25,GC,SELL_SHORT,296.28313965797963,0.0
34,2001-05-14,GC,COVER_SHORT,283.026905786704,0.1325623387127564
35,2001-06-08,ES,BUY_LONG,1988.7080022490043,0.0
36,2001-06-20,ES,SELL_LONG,1951.8290298160462,-0.36878972432958107
37,2001-08-13,ES,BUY_LONG,2096.637278004915,0.0
38,2001-08-14,GC,BUY_LONG,283.253128367221,0.0
39,2001-08-15,GC,SELL_LONG,280.3456054849766,-0.029075228822443934
40,2001-08-27,ES,SELL_LONG,2166.8811611053134,0.7024388310039831
41,2001-10-03,ES,SELL_SHORT,1991.3175624704368,0.0
42,2001-10-08,ES,COVER_SHORT,1999.4154974352555,-0.08097934964818705
43,2001-10-23,GC,SELL_SHORT,261.40096455311755,0.0
44,2001-10-24,ES,SELL_SHORT,1903.183144186105,0.0
45,2001-10-24,GC,COVER_SHORT,263.00616389339643,-0.016051993402788865
46,2001-10-25,ES,COVER_SHORT,1935.625082973892,-0.32441938787786967
47,2001-10-25,GC,SELL_SHORT,259.5320730338964,0.0
48,2001-10-30,GC,COVER_SHORT,261.1864314189259,-0.016543583850295248
49,2002-01-07,ES,SELL_SHORT,1887.5060629283257,0.0
50,2002-01-28,ES,COVER_SHORT,1780.6095547197465,1.0689650820857923
51,2002-03-11,GC,BUY_LONG,271.30283660988465,0.0
52,2002-03-12,GC,SELL_LONG,270.60832493511083,-0.006945116747738212
53,2002-03-13,GC,BUY_LONG,272.91511909673443,0.0
54,2002-03-14,GC,SELL_LONG,271.41712129541173,-0.01497997801322697
55,2002-03-25,GC,BUY_LONG,275.61042140247423,0.0
56,2002-03-26,GC,SELL_LONG,275.004602696137,-0.006058187063372316
57,2002-03-27,GC,BUY_LONG,276.87710274149146,0.0
58,2002-03-28,GC,SELL_LONG,270.5304963052488,-0.06346606436242666
59,2002-04-29,ES,BUY_LONG,1880.4853927882846,0.0
60,2002-04-30,ES,SELL_LONG,1863.477676976659,-0.17007715811625532
61,2002-05-08,GC,SELL_SHORT,253.8878603015567,0.0
62,2002-05-09,GC,COVER_SHORT,256.132566849597,-0.022447065480403126
63,2002-05-15,ES,BUY_LONG,1904.6099459413763,0.0
64,2002-05-20,ES,SELL_LONG,1903.7968998527958,-0.008130460885804497
65,2002-05-22,ES,BUY_LONG,1959.1136952649374,0.0
66,2002-06-03,ES,SELL_LONG,1980.4529622620162,0.21339266997078768
67,2002-07-22,GC,BUY_LONG,270.08186018158625,0.0
68,2002-07-23,GC,SELL_LONG,268.857862720706,-0.012239974608802414
69,2002-07-24,GC,BUY_LONG,271.747155318775,0.0
70,2002-07-25,GC,SELL_LONG,270.1810361577987,-0.015661191609763137
71,2002-07-26,GC,BUY_LONG,273.69564513601546,0.0
72,2002-08-02,ES,SELL_SHORT,1816.5759242647864,0.0
73,2002-08-02,GC,SELL_LONG,275.3350019129106,0.0163935677689517
74,2002-08-06,GC,BUY_LONG,279.3142247644794,0.0
75,2002-08-07,ES,COVER_SHORT,1814.6995262528021,0.018763980119842927
76,2002-08-07,GC,SELL_LONG,278.1336578533817,-0.01180566911097685
77,2002-08-08,GC,BUY_LONG,283.13256500330954,0.0
78,2002-08-13,GC,SELL_LONG,282.9231526265925,-0.0020941237671701176
79,2002-09-19,GC,BUY_LONG,291.9384947075383,0.0
80,2002-09-27,GC,SELL_LONG,293.38944408588037,0.014509493783420454
81,2002-10-24,ES,SELL_SHORT,1740.906935919799,0.0
82,2002-10-25,ES,COVER_SHORT,1762.892758573475,-0.21985822653675996
83,2002-11-18,ES,SELL_SHORT,1705.0637893764435,0.0
84,2002-11-18,GC,SELL_SHORT,274.7971463666841,0.0
85,2002-11-19,GC,COVER_SHORT,275.5399096268945,-0.007427632602103813
86,2002-11-20,GC,SELL_SHORT,273.80635596881854,0.0
87,2002-11-25,ES,COVER_SHORT,1715.1685034430232,-0.10104714066579618
88,2002-11-26,GC,COVER_SHORT,274.1623902128399,-0.0035603424402137307
89,2002-11-28,GC,SELL_SHORT,271.2035103985736,0.0
90,2002-11-29,GC,COVER_SHORT,271.2678231897163,-0.0006431279114269728
91,2002-12-04,GC,SELL_SHORT,263.17318648474827,0.0
92,2002-12-13,GC,COVER_SHORT,260.33893171597396,0.02834254768774315
93,2002-12-20,ES,BUY_LONG,1901.324475758144,0.0
94,2002-12-24,ES,SELL_LONG,1850.3640306772863,-0.5096044508085765
95,2003-01-08,ES,BUY_LONG,1923.9277454839726,0.0
96,2003-01-08,ZN,BUY_LONG,112.01343002520741,0.0
97,2003-01-09,ES,SELL_LONG,1922.6930023122761,-0.012347431716964365
98,2003-01-20,ZN,SELL_LONG,113.68393952985234,0.01670509504644926
99,2003-01-27,GC,SELL_SHORT,247.13831327327543,0.0
100,2003-02-17,GC,COVER_SHORT,235.54769253637187,0.1159062073690356
101,2003-02-25,ES,BUY_LONG,1978.158443162626,0.0
