date,cash,position_value,total_value,daily_return,num_positions
2000-01-03,1000000.0,0.0,1000000.0,0.0,0
2000-01-04,1000000.0,0.0,1000000.0,0.0,0
2000-01-05,1000000.0,0.0,1000000.0,0.0,0
2000-01-06,1000000.0,0.0,1000000.0,0.0,0
2000-01-07,1000000.0,0.0,1000000.0,0.0,0
2000-01-10,1000000.0,0.0,1000000.0,0.0,0
2000-01-11,1000000.0,0.0,1000000.0,0.0,0
2000-01-12,1000000.0,0.0,1000000.0,0.0,0
2000-01-13,1000000.0,0.0,1000000.0,0.0,0
2000-01-14,1000000.0,0.0,1000000.0,0.0,0
2000-01-17,1000000.0,0.0,1000000.0,0.0,0
2000-01-18,1000000.0,0.0,1000000.0,0.0,0
2000-01-19,1000000.0,0.0,1000000.0,0.0,0
2000-01-20,1000000.0,0.0,1000000.0,0.0,0
2000-01-21,1000000.0,0.0,1000000.0,0.0,0
2000-01-24,1000000.0,0.0,1000000.0,0.0,0
2000-01-25,1000000.0,0.0,1000000.0,0.0,0
2000-01-26,1000000.0,0.0,1000000.0,0.0,0
2000-01-27,1000000.0,0.0,1000000.0,0.0,0
2000-01-28,1000000.0,0.0,1000000.0,0.0,0
2000-01-31,14.200359999820648,999401.5599999998,999415.7603599996,-0.0005842396400003927,20
2000-02-01,14.200359999820648,1007158.0300000001,1007172.2303599999,0.0077610042863506205,20
2000-02-02,14.200359999820648,1000061.72,1000075.9203599998,-0.007045776070954313,20
2000-02-03,14.200359999820648,1007563.9699999997,1007578.1703599995,0.007501680469717903,20
2000-02-04,14.200359999820648,1003468.9,1003483.1003599998,-0.004064270267523343,20
2000-02-07,14.200359999820648,1011506.06,1011520.2603599998,0.008009262933393397,20
2000-02-08,14.200359999820648,1016309.12,1016323.3203599998,0.004748357683206989,20
2000-02-09,14.200359999820648,1014384.4800000001,1014398.6803599999,-0.001893728070037944,20
2000-02-10,14.200359999820648,1022143.7500000001,1022157.9503599999,0.007649132584879085,20
2000-02-11,14.200359999820648,1024583.48,1024597.6803599998,0.002386842463183505,20
2000-02-14,14.200359999820648,1028400.9900000001,1028415.1903599999,0.0037258624269565165,20
2000-02-15,14.200359999820648,1023492.1899999998,1023506.3903599996,-0.0047731694805888064,20
2000-02-16,14.200359999820648,1032247.78,1032261.9803599998,0.00855450447839469,20
2000-02-17,14.200359999820648,1033277.9700000001,1033292.1703599999,0.0009979927766406579,20
2000-02-18,14.200359999820648,1036235.3999999997,1036249.6003599995,0.00286214304611368,20
2000-02-21,14.200359999820648,1039419.9600000002,1039434.16036,0.0030731592069074727,20
2000-02-22,14.200359999820648,1032376.4399999998,1032390.6403599996,-0.0067763022119274,20
2000-02-23,14.200359999820648,1047357.1500000001,1047371.3503599999,0.014510699162069568,20
2000-02-24,14.200359999820648,1041414.3000000002,1041428.50036,-0.00567406202008229,20
2000-02-25,14.200359999820648,1033508.7600000001,1033522.9603599999,-0.007591054015966778,20
2000-02-28,14.200359999820648,1047397.4499999998,1047411.6503599996,0.013438201697194962,20
2000-02-29,43.35357999981352,1036652.6599999999,1036696.0135799997,-0.01023058773149691,20
2000-03-01,43.35357999981352,1047147.71,1047191.0635799997,0.010123555856800992,20
2000-03-02,43.35357999981352,1043401.09,1043444.4435799997,-0.0035777807224514897,20
2000-03-03,43.35357999981352,1050684.13,1050727.4835799998,0.006979806203205542,20
2000-03-06,43.35357999981352,1046939.9699999999,1046983.3235799996,-0.0035633977967752264,20
2000-03-07,43.35357999981352,1046548.5800000003,1046591.9335800001,-0.0003738263935869102,20
2000-03-08,43.35357999981352,1053018.2,1053061.5535799998,0.006181606978251408,20
2000-03-09,43.35357999981352,1044039.5200000001,1044082.8735799999,-0.008526263226946149,20
2000-03-10,43.35357999981352,1052660.23,1052703.5835799999,0.008256729631471563,20
2000-03-13,43.35357999981352,1051571.21,1051614.5635799998,-0.0010344982357678647,20
2000-03-14,43.35357999981352,1059987.21,1060030.5635799998,0.00800293214973127,20
2000-03-15,43.35357999981352,1058577.18,1058620.5335799998,-0.0013301786273388087,20
2000-03-16,43.35357999981352,1051286.92,1051330.2735799998,-0.006886565836151038,20
2000-03-17,43.35357999981352,1053298.8900000001,1053342.24358,0.0019137373388374193,20
2000-03-20,43.35357999981352,1063204.23,1063247.5835799999,0.00940372425047202,20
2000-03-21,43.35357999981352,1060816.2800000003,1060859.6335800001,-0.0022459021180743165,20
2000-03-22,43.35357999981352,1053147.41,1053190.7635799998,-0.007228920544484107,20
2000-03-23,43.35357999981352,1058927.65,1058971.0035799998,0.00548831246900783,20
2000-03-24,43.35357999981352,1068041.25,1068084.6035799999,0.008606090222669264,20
2000-03-27,43.35357999981352,1062203.0499999998,1062246.4035799997,-0.005466046397852512,20
2000-03-28,43.35357999981352,1062448.49,1062491.8435799999,0.00023105750151094056,20
2000-03-29,43.35357999981352,1065301.5300000003,1065344.8835800001,0.0026852347312023876,20
2000-03-30,43.35357999981352,1071097.1300000001,1071140.48358,0.00544011623778043,20
2000-03-31,3.875519999899552,1055100.42,1055104.29552,-0.014971134324419717,20
2000-04-03,3.875519999899552,1050890.62,1050894.49552,-0.003989937315083195,20
2000-04-04,3.875519999899552,1052003.64,1052007.51552,0.001059116785504757,20
2000-04-05,3.875519999899552,1050449.88,1050453.75552,-0.001476947623546203,20
2000-04-06,3.875519999899552,1053851.75,1053855.62552,0.0032384766888820388,20
2000-04-07,3.875519999899552,1053389.65,1053393.52552,-0.00043848511011371303,20
2000-04-10,3.875519999899552,1056982.0799999998,1056985.9555199998,0.003410339928021257,20
2000-04-11,3.875519999899552,1051912.75,1051916.62552,-0.0047960239902202955,20
2000-04-12,3.875519999899552,1056258.1099999999,1056261.9855199999,0.00413089772951521,20
2000-04-13,3.875519999899552,1052693.08,1052696.95552,-0.0033751380328666506,20
2000-04-14,3.875519999899552,1052021.92,1052025.79552,-0.0006375624024376669,20
2000-04-17,3.875519999899552,1057805.27,1057809.14552,0.005497346191156343,20
2000-04-18,3.875519999899552,1058398.65,1058402.52552,0.0005609518527164872,20
2000-04-19,3.875519999899552,1052891.4,1052895.27552,-0.005203360599781499,20
