trade_id,date,symbol,name,action,price,shares,amount,commission,reason
1,2000-01-31,000020,股票000020,BUY,21.41,2335,49992.35,99.9847,换仓买入
2,2000-01-31,000081,股票000081,BUY,53.49,934,49959.66,99.91932000000001,换仓买入
3,2000-01-31,000440,股票000440,BUY,52.29,956,49989.24,99.97848,换仓买入
4,2000-01-31,000484,股票000484,BUY,40.59,1231,49966.29,99.93258,换仓买入
5,2000-01-31,000306,股票000306,BUY,107.09,466,49903.94,99.80788000000001,换仓买入
6,2000-01-31,000311,股票000311,BUY,43.53,1148,49972.44,99.94488000000001,换仓买入
7,2000-01-31,000496,股票000496,BUY,47.17,1059,49953.03,99.90606,换仓买入
8,2000-01-31,000250,股票000250,BUY,24.62,2030,49978.6,99.9572,换仓买入
9,2000-01-31,000468,股票000468,BUY,56.52,884,49963.68,99.92736000000001,换仓买入
10,2000-01-31,000453,股票000453,BUY,69.19,722,49955.18,99.91036,换仓买入
11,2000-01-31,000066,股票000066,BUY,11.83,4226,49993.58,99.98716,换仓买入
12,2000-01-31,000033,股票000033,BUY,48.58,1029,49988.82,99.97764000000001,换仓买入
13,2000-01-31,000288,股票000288,BUY,64.99,769,49977.31,99.95461999999999,换仓买入
14,2000-01-31,000225,股票000225,BUY,96.88,516,49990.079999999994,99.98016,换仓买入
15,2000-01-31,000170,股票000170,BUY,77.31,646,49942.26,99.88452000000001,换仓买入
16,2000-01-31,000142,股票000142,BUY,23.03,2171,49998.130000000005,99.99626,换仓买入
17,2000-01-31,000382,股票000382,BUY,71.55,698,49941.9,99.88380000000001,换仓买入
18,2000-01-31,000461,股票000461,BUY,107.27,466,49987.82,99.97564,换仓买入
19,2000-01-31,000431,股票000431,BUY,64.83,771,49983.93,99.96786,换仓买入
20,2000-01-31,000005,股票000005,BUY,61.38,791,48551.58,97.10316,换仓买入
21,2000-02-29,000382,股票000382,SELL,71.15,698,49662.700000000004,99.32540000000002,换仓卖出
22,2000-02-29,000440,股票000440,SELL,57.03,956,54520.68,109.04136,换仓卖出
23,2000-02-29,000081,股票000081,SELL,55.43,934,51771.62,103.54324000000001,换仓卖出
24,2000-02-29,000496,股票000496,SELL,47.25,1059,50037.75,100.0755,换仓卖出
25,2000-02-29,000225,股票000225,SELL,99.73,516,51460.68,102.92136,换仓卖出
26,2000-02-29,000311,股票000311,SELL,42.49,1148,48778.520000000004,97.55704000000001,换仓卖出
27,2000-02-29,000033,股票000033,SELL,49.35,1029,50781.15,101.56230000000001,换仓卖出
28,2000-02-29,000288,股票000288,SELL,66.41,769,51069.29,102.13858,换仓卖出
29,2000-02-29,000170,股票000170,SELL,78.82,646,50917.719999999994,101.83543999999999,换仓卖出
30,2000-02-29,000306,股票000306,SELL,108.25,466,50444.5,100.889,换仓卖出
31,2000-02-29,000431,股票000431,SELL,71.01,771,54748.71000000001,109.49742000000002,换仓卖出
32,2000-02-29,000005,股票000005,SELL,64.79,814,52739.060000000005,105.47812000000002,换仓卖出
33,2000-02-29,000484,股票000484,SELL,42.5,1231,52317.5,104.635,换仓卖出
34,2000-02-29,000250,股票000250,SELL,26.52,2030,53835.6,107.6712,换仓卖出
35,2000-02-29,000142,股票000142,SELL,24.29,2171,52733.59,105.46718,换仓卖出
36,2000-02-29,000461,股票000461,SELL,118.76,466,55342.16,110.68432000000001,换仓卖出
37,2000-02-29,000468,股票000468,SELL,59.74,884,52810.16,105.62032,换仓卖出
38,2000-02-29,000020,股票000020,SELL,22.17,2335,51766.950000000004,103.53390000000002,换仓卖出
39,2000-02-29,000453,股票000453,SELL,72.11,722,52063.42,104.12684,换仓卖出
40,2000-02-29,000066,股票000066,SELL,12.22,4226,51641.72,103.28344,换仓卖出
41,2000-02-29,000233,股票000233,BUY,63.88,811,51806.68,103.61336,换仓买入
42,2000-02-29,000422,股票000422,BUY,29.94,1732,51856.08,103.71216000000001,换仓买入
43,2000-02-29,000124,股票000124,BUY,22.58,2297,51866.259999999995,103.73252,换仓买入
